E_eV,f1,f2
8985.22,41.8283,2.26868
9130.54,41.8058,2.20595
9278.22,41.7828,2.14481
9428.29,41.7593,2.08536
9580.79,41.7354,2.02756
9735.75,41.7112,1.97136
9893.22,41.6866,1.91663
10053.2,41.6618,1.8634
10215.8,41.6366,1.81163
10381.1,41.6111,1.76127
10549,41.5853,1.71229
10719.6,41.5592,1.66464
10893,41.5328,1.6183
11069.2,41.506,1.57323
11248.2,41.4789,1.52939
11430.1,41.4515,1.48676
11615,41.4237,1.4453
11802.9,41.3954,1.40498
11993.8,41.3667,1.36577
12187.8,41.3376,1.32764
12384.9,41.3079,1.29056
12585.2,41.2777,1.25451
12788.8,41.2469,1.21945
12995.6,41.2154,1.18536
13205.8,41.1832,1.15221
13419.4,41.1501,1.11997
13636.4,41.1162,1.08863
13857,41.0812,1.05816
14081.1,41.0451,1.02852
14308.9,41.0077,0.999713
14540.3,40.9689,0.9717
14775.5,40.9284,0.944462
15014.5,40.8861,0.91798
15257.3,40.8416,0.892231
15504.1,40.7947,0.867197
15754.8,40.745,0.842856
16009.7,40.6919,0.81919
16268.6,40.635,0.79618
16531.7,40.5734,0.773808
16799.1,40.5062,0.752056
17070.8,40.4323,0.730907
17347,40.3499,0.710344
17627.5,40.2569,0.690352
17912.6,40.15,0.670913
18202.4,40.0245,0.652013
18496.8,39.8728,0.633637
18795.9,39.682,0.615769
19099.9,39.4272,0.598396
19408.9,39.05,0.581504
19722.8,38.3467,0.565079
20000.3,30.4385,0.551156
20000.5,30.4387,3.7149
20041.8,36.53,3.70285
20366,38.7994,3.61058
20695.4,39.4951,3.52009
21030.1,39.9268,3.43139
21370.2,40.241,3.34446
21715.9,40.4875,3.2593
22067.1,40.6894,3.1759
22424,40.8595,3.09425
22786.7,41.0056,3.01432
23155.3,41.1328,2.93611
23529.8,41.2449,2.8596
23910.4,41.3443,2.78477
24297.1,41.4331,2.71161
24690.1,41.5127,2.64008
25089.4,41.5845,2.57017
25495.2,41.6494,2.50187
25907.6,41.7082,2.43514
26326.6,41.7616,2.36996
26752.5,41.8101,2.30632
27185.2,41.8543,2.24418
27624.8,41.8946,2.18352
28071.7,41.9314,2.12432
28525.7,41.9651,2.06655
28987.1,41.9969,2.01019
29455.9,42.044,1.95521
29932.3,42.0207,1.90158
30000,42.0368,1.89415
